Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,34413603
"Population, total",SP.POP.TOTL,Albania,ALB,2880703
"Population, total",SP.POP.TOTL,Algeria,DZA,39728020
"Population, total",SP.POP.TOTL,American Samoa,ASM,55806
"Population, total",SP.POP.TOTL,Andorra,AND,77993
"Population, total",SP.POP.TOTL,Angola,AGO,27884380
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,93571
"Population, total",SP.POP.TOTL,Argentina,ARG,43131966
"Population, total",SP.POP.TOTL,Armenia,ARM,2925559
"Population, total",SP.POP.TOTL,Aruba,ABW,104339
"Population, total",SP.POP.TOTL,Australia,AUS,23815995
"Population, total",SP.POP.TOTL,Austria,AUT,8642699
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9649341
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,374200
"Population, total",SP.POP.TOTL,Bahrain,BHR,1371853
"Population, total",SP.POP.TOTL,Bangladesh,BGD,156256287
"Population, total",SP.POP.TOTL,Barbados,BRB,285327
"Population, total",SP.POP.TOTL,Belarus,BLR,9489616
"Population, total",SP.POP.TOTL,Belgium,BEL,11274196
"Population, total",SP.POP.TOTL,Belize,BLZ,360926
"Population, total",SP.POP.TOTL,Benin,BEN,10575962
"Population, total",SP.POP.TOTL,Bermuda,BMU,65237
"Population, total",SP.POP.TOTL,Bhutan,BTN,727885
"Population, total",SP.POP.TOTL,Bolivia,BOL,10869732
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3429362
"Population, total",SP.POP.TOTL,Botswana,BWA,2120716
"Population, total",SP.POP.TOTL,Brazil,BRA,204471759
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,29148
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,414914
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7177991
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,18110616
"Population, total",SP.POP.TOTL,Burundi,BDI,10160034
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,524740
"Population, total",SP.POP.TOTL,Cambodia,KHM,15521435
"Population, total",SP.POP.TOTL,Cameroon,CMR,23298376
"Population, total",SP.POP.TOTL,Canada,CAN,35702908
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,61721
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4493171
"Population, total",SP.POP.TOTL,Chad,TCD,14110971
"Population, total",SP.POP.TOTL,Channel Islands,CHI,165387
"Population, total",SP.POP.TOTL,Chile,CHL,17969356
"Population, total",SP.POP.TOTL,China,CHN,1371220000
"Population, total",SP.POP.TOTL,Colombia,COL,47520667
"Population, total",SP.POP.TOTL,Comoros,COM,777435
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,76244532
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4856093
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4847805
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,23226148
"Population, total",SP.POP.TOTL,Croatia,HRV,4203604
"Population, total",SP.POP.TOTL,Cuba,CUB,11324777
"Population, total",SP.POP.TOTL,Curacao,CUW,157980
"Population, total",SP.POP.TOTL,Cyprus,CYP,1160987
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10546059
"Population, total",SP.POP.TOTL,Denmark,DNK,5683483
"Population, total",SP.POP.TOTL,Djibouti,DJI,913998
"Population, total",SP.POP.TOTL,Dominica,DMA,71175
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10281675
"Population, total",SP.POP.TOTL,Ecuador,ECU,16212022
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,92442549
"Population, total",SP.POP.TOTL,El Salvador,SLV,6325121
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1168575
"Population, total",SP.POP.TOTL,Eritrea,ERI,..
"Population, total",SP.POP.TOTL,Estonia,EST,1315407
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1104038
"Population, total",SP.POP.TOTL,Ethiopia,ETH,100835453
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48055
"Population, total",SP.POP.TOTL,Fiji,FJI,868632
"Population, total",SP.POP.TOTL,Finland,FIN,5479531
"Population, total",SP.POP.TOTL,France,FRA,66548272
"Population, total",SP.POP.TOTL,French Polynesia,PYF,273119
"Population, total",SP.POP.TOTL,Gabon,GAB,1947690
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2085860
"Population, total",SP.POP.TOTL,Georgia,GEO,3725276
"Population, total",SP.POP.TOTL,Germany,DEU,81686611
"Population, total",SP.POP.TOTL,Ghana,GHA,27849203
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33742
"Population, total",SP.POP.TOTL,Greece,GRC,10820883
"Population, total",SP.POP.TOTL,Greenland,GRL,56114
"Population, total",SP.POP.TOTL,Grenada,GRD,109603
"Population, total",SP.POP.TOTL,Guam,GUM,161851
"Population, total",SP.POP.TOTL,Guatemala,GTM,15567419
"Population, total",SP.POP.TOTL,Guinea,GIN,11432096
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1737207
"Population, total",SP.POP.TOTL,Guyana,GUY,767433
"Population, total",SP.POP.TOTL,Haiti,HTI,10695540
"Population, total",SP.POP.TOTL,Honduras,HND,9112904
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7291300
"Population, total",SP.POP.TOTL,Hungary,HUN,9843028
"Population, total",SP.POP.TOTL,Iceland,ISL,330815
"Population, total",SP.POP.TOTL,India,IND,1310152392
"Population, total",SP.POP.TOTL,Indonesia,IDN,258383257
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,78492208
"Population, total",SP.POP.TOTL,Iraq,IRQ,35572269
"Population, total",SP.POP.TOTL,Ireland,IRL,4701957
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83232
"Population, total",SP.POP.TOTL,Israel,ISR,8380100
"Population, total",SP.POP.TOTL,Italy,ITA,60730582
"Population, total",SP.POP.TOTL,Jamaica,JAM,2891024
"Population, total",SP.POP.TOTL,Japan,JPN,127141000
"Population, total",SP.POP.TOTL,Jordan,JOR,9266573
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,17542806
"Population, total",SP.POP.TOTL,Kenya,KEN,47878339
"Population, total",SP.POP.TOTL,Kiribati,KIR,110927
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25183832
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51014947
"Population, total",SP.POP.TOTL,Kosovo,XKX,1788196
"Population, total",SP.POP.TOTL,Kuwait,KWT,3835588
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5956900
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6741160
"Population, total",SP.POP.TOTL,Latvia,LVA,1977527
"Population, total",SP.POP.TOTL,Lebanon,LBN,6532681
"Population, total",SP.POP.TOTL,Lesotho,LSO,2059011
"Population, total",SP.POP.TOTL,Liberia,LBR,4472229
"Population, total",SP.POP.TOTL,Libya,LBY,6418315
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37465
"Population, total",SP.POP.TOTL,Lithuania,LTU,2904910
"Population, total",SP.POP.TOTL,Luxembourg,LUX,569604
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,602093
"Population, total",SP.POP.TOTL,Madagascar,MDG,24234080
"Population, total",SP.POP.TOTL,Malawi,MWI,16745305
"Population, total",SP.POP.TOTL,Malaysia,MYS,30270965
"Population, total",SP.POP.TOTL,Maldives,MDV,454914
"Population, total",SP.POP.TOTL,Mali,MLI,17438772
"Population, total",SP.POP.TOTL,Malta,MLT,445053
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,57444
"Population, total",SP.POP.TOTL,Mauritania,MRT,4046304
"Population, total",SP.POP.TOTL,Mauritius,MUS,1262605
"Population, total",SP.POP.TOTL,Mexico,MEX,121858251
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,108886
"Population, total",SP.POP.TOTL,Moldova,MDA,2834530
"Population, total",SP.POP.TOTL,Monaco,MCO,37723
"Population, total",SP.POP.TOTL,Mongolia,MNG,2998433
"Population, total",SP.POP.TOTL,Montenegro,MNE,622159
"Population, total",SP.POP.TOTL,Morocco,MAR,34663608
"Population, total",SP.POP.TOTL,Mozambique,MOZ,27042001
"Population, total",SP.POP.TOTL,Myanmar,MMR,52680724
"Population, total",SP.POP.TOTL,Namibia,NAM,2314901
"Population, total",SP.POP.TOTL,Nauru,NRU,10374
"Population, total",SP.POP.TOTL,Nepal,NPL,27015033
"Population, total",SP.POP.TOTL,Netherlands,NLD,16939923
"Population, total",SP.POP.TOTL,New Caledonia,NCL,268700
"Population, total",SP.POP.TOTL,New Zealand,NZL,4609400
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6223234
"Population, total",SP.POP.TOTL,Niger,NER,20001663
"Population, total",SP.POP.TOTL,Nigeria,NGA,181137454
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2079335
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,55779
"Population, total",SP.POP.TOTL,Norway,NOR,5188607
"Population, total",SP.POP.TOTL,Oman,OMN,4267341
"Population, total",SP.POP.TOTL,Pakistan,PAK,199426953
"Population, total",SP.POP.TOTL,Palau,PLW,17665
"Population, total",SP.POP.TOTL,Panama,PAN,3968490
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8107772
"Population, total",SP.POP.TOTL,Paraguay,PRY,6688746
"Population, total",SP.POP.TOTL,Peru,PER,30470739
"Population, total",SP.POP.TOTL,Philippines,PHL,102113206
"Population, total",SP.POP.TOTL,Poland,POL,37986412
"Population, total",SP.POP.TOTL,Portugal,PRT,10358076
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3473232
"Population, total",SP.POP.TOTL,Qatar,QAT,2565708
"Population, total",SP.POP.TOTL,Romania,ROU,19815616
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144096870
"Population, total",SP.POP.TOTL,Rwanda,RWA,11369066
"Population, total",SP.POP.TOTL,Samoa,WSM,193510
"Population, total",SP.POP.TOTL,San Marino,SMR,33270
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,199439
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,31717676
"Population, total",SP.POP.TOTL,Senegal,SEN,14578450
"Population, total",SP.POP.TOTL,Serbia,SRB,7095383
"Population, total",SP.POP.TOTL,Seychelles,SYC,93419
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7171909
"Population, total",SP.POP.TOTL,Singapore,SGP,5535002
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,38825
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5423801
"Population, total",SP.POP.TOTL,Slovenia,SVN,2063531
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,603133
"Population, total",SP.POP.TOTL,Somalia,SOM,13797204
"Population, total",SP.POP.TOTL,South Africa,ZAF,55386369
"Population, total",SP.POP.TOTL,South Sudan,SSD,10715657
"Population, total",SP.POP.TOTL,Spain,ESP,46444832
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,20970000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,51204
